Prediction,Target,Machine Percentage,Similarity Percent,Occurances,Count
,,,,,
ofdm,polynomial model,-0.116437003,0.23,1,1727
,,,,,
doubly selective channel,polynomial model,0.090581588,0.43,1,1728
,,,,,
kalman filter,recursive kalman,0.481630534,0.23,1,1729
,,,,,
"['channel estimation', 'finite parameter model', 'maximum likelihood equalizer', 'ofdm', 'doubly selective channel', 'kalman filter']","['polynomial model', 'oversampled basis expansion model', 'recursive kalman', 'reduced complexity ml equalizer']",N/A,0.12,1,1730
,,,,,
web services,web services,1,1,1,1731
,,,,,
agent,intelligent agents,0.13030082,0.12,1,1732
,,,,,
exception management,exception management,1,1,1,1733
,,,,,
e commerce,securities trading,0.100072764,0.32,1,1734
,,,,,
"['web services', 'agent', 'exception management', 'e commerce']","['web services', 'decision support systems', 'exception management', 'intelligent agents', 'securities trading']",N/A,0.43,1,1735
,,,,,
energy consumption,energy efficiency,0.60026443,0.34,1,1736
,,,,,
eml,eml,0.999999762,1,1,1737
,,,,,
energy measurement,energy measurement library,0.680039763,0.67,1,1738
,,,,,
exascale computing,energy aware computing,0.233868793,0.54,1,1739
,,,,,
parallel programming,energy aware computing,0.179700479,0.34,1,1740
,,,,,
energy efficiency,energy efficiency,1,1,1,1741
,,,,,
"['energy consumption', 'eml', 'energy measurement', 'exascale computing', 'parallel programming', 'energy efficiency']","['eml', 'energy measurement library', 'energy aware computing', 'energy efficiency']",N/A,0.54,1,1742
,,,,,
methylation,dna methylation,0.489309222,0.45,1,1743
,,,,,
representational difference analysis,genome scanning,0.076430716,0.05,1,1744
,,,,,
cancer,cancer,1,1,1,1745
,,,,,
dna,dna methylation,0.334861755,0.45,1,1746
,,,,,
hpaii,cpg island,0.236111999,0.23,1,1747
,,,,,
cpg islands,cpg island,0.895190537,1,1,1748
,,,,,
sacii,cpg island,0.082102492,0.21,1,1749
,,,,,
nari,cpg island,0.052283421,0.43,1,1750
,,,,,
"['methylation', 'representational difference analysis', 'cancer', 'dna', 'hpaii', 'cpg islands', 'sacii', 'nari']","['cancer', 'cpg island', 'dna methylation', 'gene silencing', 'genome scanning']",N/A,0.45,1,1751
,,,,,
independent set,maximum independent set,0.646640122,0.23,1,1752
,,,,,
vertex cover,minimum vertex cover,0.231324226,0.12,1,1753
,,,,,
dominating set,minimum dominating set,0.387655824,0.21,1,1754
,,,,,
graph minor,forbidden minor,0.157982901,0.32,1,1755
,,,,,
polynomial time algorithm,polynomial time approximation scheme,0.761904001,0.04,1,1756
,,,,,
"['independent set', 'vertex cover', 'dominating set', 'graph minor', 'polynomial time algorithm']","['polynomial time approximation scheme', 'maximum independent set', 'minimum vertex cover', 'minimum dominating set', 'forbidden minor', 'separator', 'local optimization']",N/A,0.05,1,1757
,,,,,
ranking,ranking fuzzy numbers,0.331528902,0.032,1,1758
,,,,,
fuzzy numbers,ranking fuzzy numbers,0.453253329,0.03,1,1759
,,,,,
optimism,index of optimism,0.175728068,0.04,1,1760
,,,,,
neutrality,integral value,0.014009003,0.21,1,1761
,,,,,
liou wang index,index of modality,-0.04805477,0.12,1,1762
,,,,,
"['ranking', 'fuzzy numbers', 'optimism', 'neutrality', 'liou wang index']","['ranking fuzzy numbers', 'integral value', 'index of optimism', 'index of modality']",N/A,0.43,1,1763
,,,,,
mobility based load control,mobility based load control,1.000000238,1,1,1764
,,,,,
hierarchical mobile ipv6,hierarchical mobile ipv6,1,1,1,1765
,,,,,
mobility anchor point,mobility anchor point,1,1,1,1766
,,,,,
continuous time markov chain,hierarchical mobile ipv6,0.06039191,0.12,1,1767
,,,,,
m g <digit> queueing model,admission control algorithm,0.15576382,0.21,1,1768
,,,,,
"['mobility based load control', 'hierarchical mobile ipv6', 'mobility anchor point', 'continuous time markov chain', 'm g <digit> queueing model']","['mobility based load control', 'hierarchical mobile ipv6', 'mobility anchor point', 'admission control algorithm', 'session to mobility ratio']",N/A,0.43,1,1769
,,,,,
randomized diffusion,randomized algorithms,0.619115233,0.12,1,1770
,,,,,
indivisible loads,randomized algorithms,0.012225549,0.03,1,1771
,,,,,
discrepancy,diffusion,0.254806906,0.05,1,1772
,,,,,
load balancing,load balancing,1,1,1,1773
,,,,,
randomized algorithm,randomized algorithms,0.874023616,1,1,1774
,,,,,
"['randomized diffusion', 'indivisible loads', 'discrepancy', 'load balancing', 'randomized algorithm']","['diffusion', 'distributed computing', 'load balancing', 'randomized algorithms', 'random walk']",N/A,0.45,1,1775
,,,,,
image segmentation,image segmentation,1,1,1,1776
,,,,,
region merging,region merging,0.999999762,1,1,1777
,,,,,
sequential probability ratio test,wald 's sequential probability ratio test,0.623473346,0.12,1,1778
,,,,,
minimal cost criterion,dynamic programming,0.087898038,0.04,1,1779
,,,,,
dynamic programming,dynamic programming,1,1,1,1780
,,,,,
nearest neighbor graph,dynamic programming,0.055900171,0.12,1,1781
,,,,,
"['image segmentation', 'region merging', 'sequential probability ratio test', 'minimal cost criterion', 'dynamic programming', 'nearest neighbor graph']","['image segmentation', 'region merging', 'dynamic programming', ""wald 's sequential probability ratio test""]",N/A,0.41,1,1782
,,,,,
pairwise comparisons,pairwise comparison matrix,0.73427093,0.12,1,1783
,,,,,
group decision making,group decision making,1,1,1,1784
,,,,,
consistency,inconsistency indices,0.262758017,0.1,1,1785
,,,,,
preference,analytic hierarchy process,-0.082738683,0.21,1,1786
,,,,,
inconsistency index,inconsistency indices,0.908700109,1,1,1787
,,,,,
"['pairwise comparisons', 'group decision making', 'consistency', 'preference', 'inconsistency index']","['boundary properties', 'group decision making', 'inconsistency indices', 'pairwise comparison matrix', 'analytic hierarchy process']",N/A,0.53,1,1788
,,,,,
sensitivity,robustness and sensitivity analysis,0.136445656,0.4,1,1789
,,,,,
optimal pricing,pricing,0.268411368,0.56,1,1790
,,,,,
queueing,queueing,1,1,1,1791
,,,,,
dynamic programming,stochastic programming,0.549901128,0.43,1,1792
,,,,,
optimum policy,stochastic programming,0.069818184,0.23,1,1793
,,,,,
"['sensitivity', 'optimal pricing', 'queueing', 'dynamic programming', 'optimum policy']","['pricing', 'queueing', 'stochastic programming', 'markov decision processes', 'robustness and sensitivity analysis']",N/A,0.21,1,1794
,,,,,
self organization,self organizing,0.720042109,1,1,1795
,,,,,
p2p systems,peer to peer,0.186092541,0.67,1,1796
,,,,,
multi dimensional structure,key value storage,0.128903732,0.53,1,1797
,,,,,
mobile agents,resource discovery,0.070087358,0.04,1,1798
,,,,,
peer to peer,peer to peer,1,1,1,1799
,,,,,
"['self organization', 'p2p systems', 'multi dimensional structure', 'mobile agents', 'peer to peer']","['self organizing', 'bio inspired', 'peer to peer', 'key value storage', 'resource discovery']",N/A,0.45,1,1800
,,,,,
traffic light,traffic lights,0.660236835,1,1,1801
,,,,,
virtual sign,traffic lights,-0.03246028,0.12,1,1802
,,,,,
in vehicle communication,v2v communication,0.104290321,0.23,1,1803
,,,,,
traffic flow,traffic lights,0.466579735,0.41,1,1804
,,,,,
ubiquitous,traffic lights,-0.063955344,0.12,1,1805
,,,,,
scalability,traffic lights,0.033909492,0.04,1,1806
,,,,,
cost effectiveness,traffic lights,-0.04310219,0.05,1,1807
,,,,,
ivc,v2v communication,-0.126073793,0.34,1,1808
,,,,,
"['traffic light', 'virtual sign', 'in vehicle communication', 'traffic flow', 'ubiquitous', 'scalability', 'cost effectiveness', 'ivc']","['self organized traffic', 'traffic lights', 'v2v communication']",N/A,0.32,1,1809
,,,,,
information retrieval,information retrieval,1,1,1,1810
,,,,,
information searches,information retrieval,0.63251555,0.54,15,1811
,,,,,
"['information retrieval', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches', 'information searches']","['information retrieval', 'knowledge management', 'hospitals', 'information systems']",N/A,0.23,1,1812
,,,,,
anfis,anfis and regression analysis,0.37724188,0.34,1,1813
,,,,,
scour depth,local scour,0.232309401,0.12,1,1814
,,,,,
bridge abutment,bridge abutments,0.843542278,1,1,1815
,,,,,
regression model,anfis and regression analysis,0.256311834,0.12,1,1816
,,,,,
artificial neural networks,neural network,0.416514188,1,1,1817
,,,,,
"['anfis', 'scour depth', 'bridge abutment', 'regression model', 'artificial neural networks']","['bridge abutments', 'neural network', 'anfis and regression analysis', 'local scour']",N/A,0.32,1,1818
,,,,,
evolutionary algorithm,improved strength pareto evolutionary algorithm,0.275653809,0.45,1,1819
,,,,,
distributed generations,distributed generation,0.737574637,1,1,1820
,,,,,
simulated annealing,simulated annealing,1.000000238,1,1,1821
,,,,,
pareto optimal solution,improved strength pareto evolutionary algorithm,0.314714968,1,1,1822
,,,,,
economic dispatch,coordinative optimization,0.058129139,0.12,1,1823
,,,,,
power industry,distribution power system,0.333027095,0.21,1,1824
,,,,,
"['evolutionary algorithm', 'distributed generations', 'simulated annealing', 'pareto optimal solution', 'economic dispatch', 'power industry']","['improved strength pareto evolutionary algorithm', 'distributed generation', 'simulated annealing', 'distribution power system', 'coordinative optimization']",N/A,0.04,1,1825
,,,,,
real time ethernet,real time,0.35390228,0.56,1,1826
,,,,,
synchronization,network synchronization,0.323681295,0.54,1,1827
,,,,,
distributed measurement instrument,performance analysis,0.17473802,0.21,1,1828
,,,,,
fpga,fieldbus,0.074762277,0.12,1,1829
,,,,,
pc based monitor station,performance analysis,0.052071482,0.04,1,1830
,,,,,
iec <digit>,fieldbus,-0.17263402,0.03,3,1831
,,,,,
ie,performance analysis,-0.174374536,0.05,1,1832
,,,,,
"['real time ethernet', 'synchronization', 'distributed measurement instrument', 'fpga', 'pc based monitor station', 'iec <digit>', 'iec <digit>', 'iec <digit>', 'ie']","['performance analysis', 'real time', 'ethernet network', 'fieldbus', 'network synchronization']",N/A,0.1,1,1833
,,,,,
documentation,documentation,1,1,1,1834
,,,,,
standardization,standardization,0.999999762,1,1,1835
,,,,,
student,student,0.999999762,1,1,1836
,,,,,
writing,writing,0.999999762,1,1,1837
,,,,,
program,program,1.000000238,1,1,1838
,,,,,
goals,goals,1,1,1,1839
,,,,,
optimality,integrability,0.23626408,1,1,1840
,,,,,
code,code,1,1,1,1841
,,,,,
stress,stress,0.999999583,1,1,1842
,,,,,
computer science education,computer science education,0.999999762,1,1,1843
,,,,,
industrial,industrial,1,1,1,1844
,,,,,
governance,governance,1,1,1,1845
,,,,,
point,point,1,1,1,1846
,,,,,
public,public,0.999999762,1,1,1847
,,,,,
adopt,adopt,1,1,1,1848
,,,,,
requirements,requirements,1,1,1,1849
,,,,,
teaching,teaching,1,1,1,1850
,,,,,
introductory programming,introductory programming,1,1,1,1851
,,,,,
experience,experience,0.999999762,1,1,1852
,,,,,
author,author,0.999999762,1,1,1853
,,,,,
direct,direct,1,1,1,1854
,,,,,
effect,effect,0.999999762,1,1,1855
,,,,,
"['documentation', 'standardization', 'student', 'writing', 'program', 'goals', 'optimality', 'code', 'stress', 'computer science education', 'industrial', 'governance', 'point', 'public', 'adopt', 'requirements', 'teaching', 'introductory programming', 'experience', 'author', 'direct', 'effect']","['documentation', 'standardization', 'student', 'writing', 'program', 'goals', 'code', 'stress', 'computer science education', 'industrial', 'governance', 'point', 'public', 'adopt', 'requirements', 'teaching', 'introductory programming', 'experience', 'author', 'direct', 'effect', 'use', 'component', 'integrability', 'variability', 'flow', 'rules', 'context']",N/A,0.9,1,1856
,,,,,
differential space time modulation,space time coding,0.463419199,0.12,1,1857
,,,,,
ds cdma,ds cdma,0.999999762,1,1,1858
,,,,,
deterministic de prefix,smart antennas,-0.0991394,0.12,1,1859
,,,,,
rake type combination,rake receiver,0.279381931,0.21,1,1860
,,,,,
differential space time receiver,space time coding,0.389763981,0.33,1,1861
,,,,,
"['differential space time modulation', 'ds cdma', 'deterministic de prefix', 'rake type combination', 'differential space time receiver']","['ds cdma', 'wireless communications', 'space time coding', 'smart antennas', 'spread spectrum', 'rake receiver']",N/A,0.23,1,1862
,,,,,
normalization,normalization,1,1,1,1863
,,,,,
fuzzy weight,fuzzy weights,0.771315455,1,1,1864
,,,,,
multiple criteria decision analysis,multiple criteria decision making,0.831804395,1,1,1865
,,,,,
interval weight,interval weights,0.86923027,1,1,1866
,,,,,
"['normalization', 'fuzzy weight', 'multiple criteria decision analysis', 'interval weight']","['normalization', 'fuzzy weights', 'interval weights', 'multiple criteria decision making']",N/A,1,1,1867
,,,,,
semi markov process,semi markov process,1,1,1,1868
,,,,,
poisson process,semi markov process,0.267856836,0.12,1,1869
,,,,,
linear independence,batch arrival,0.079752415,0.12,1,1870
,,,,,
motion picture experts group,group of pictures,0.19660607,0.12,1,1871
,,,,,
interfering traffic,waiting time,-0.101179257,0.12,1,1872
,,,,,
m g <digit> queue,queue,0.134460866,0.12,4,1873
,,,,,
"['semi markov process', 'poisson process', 'linear independence', 'motion picture experts group', 'interfering traffic', 'm g <digit> queue', 'm g <digit> queue', 'm g <digit> queue', 'm g <digit> queue']","['queue', 'mpeg', 'semi markov process', 'waiting time', 'batch arrival', 'group of pictures']",N/A,0.04,1,1874
,,,,,
fractal dimension,fractal dimension,0.999999762,1,1,1875
,,,,,
urban growth,urban growth,0.999999762,1,1,1876
,,,,,
shape area,area perimeter relation,0.13632369,1,1,1877
,,,,,
box counting method,box counting method,0.999999762,1,1,1878
,,,,,
urban growth dynamics,urban growth,0.710945785,0.96,1,1879
,,,,,
"['fractal dimension', 'urban growth', 'shape area', 'box counting method', 'urban growth dynamics']","['fractal dimension', 'urban growth', 'box counting method', 'area perimeter relation']",N/A,0.76,1,1880
,,,,,
adaptive critic,adaptive critic design,0.647626162,0.45,1,1881
,,,,,
dynamic optimization,energy efficiency,0.276985765,0.23,1,1882
,,,,,
particle swarm optimization,wildlife monitoring,0.289814681,0.1,1,1883
,,,,,
neural network,wireless sensor networks,0.324493825,0.1,1,1884
,,,,,
sleep scheduling,sleep scheduling,0.999999762,1,1,1885
,,,,,
wireless sensor motes,wireless sensor networks,0.662620544,0.56,1,1886
,,,,,
"['adaptive critic', 'dynamic optimization', 'particle swarm optimization', 'neural network', 'sleep scheduling', 'wireless sensor motes']","['adaptive critic design', 'sleep scheduling', 'wildlife monitoring', 'energy efficiency', 'wireless sensor networks']",N/A,0.45,1,1887
,,,,,
linearity,linear lambda calculus,0.203798696,0.23,1,1888
,,,,,
recursion,recursion,0.999999762,1,1,1889
,,,,,
typed lambda calculus,linear lambda calculus,0.552512765,0.12,1,1890
,,,,,
language,linear lambda calculus,-0.038114335,0.12,1,1891
,,,,,
value,recursion,-0.039827451,0.32,1,1892
,,,,,
evaluation,recursion,0.173274398,0.12,1,1893
,,,,,
strategies,pcf,-0.093855515,0.32,1,1894
,,,,,
implementation,recursion,0.152102232,0.12,1,1895
,,,,,
"['linearity', 'recursion', 'typed lambda calculus', 'language', 'value', 'evaluation', 'strategies', 'implementation']","['recursion', 'pcf', 'linear lambda calculus']",N/A,0.12,1,1896
,,,,,
power aware,power aware,1,1,1,1897
,,,,,
paging,paging,1.000000238,1,1,1898
,,,,,
allocation,allocation,1,1,1,1899
,,,,,
challenge,challenge,1,1,1,1900
,,,,,
computation,computation,1,1,1,1901
,,,,,
energy consumption,energy consumption,1,1,1,1902
,,,,,
lifetime,lifetime,1,1,1,1903
,,,,,
batteries,batteries,1,1,1,1904
,,,,,
mobile device,mobile device,1,1,1,1905
,,,,,
memorialized,memorialized,1,1,1,1906
,,,,,
energy efficiency,energy efficiency,1,1,1,1907
,,,,,
technologies,technologies,1,1,1,1908
,,,,,
power management,power management,1,1,1,1909
,,,,,
feature,feature,0.999999762,1,1,1910
,,,,,
paper,paper,1.000000238,1,1,1911
,,,,,
exploration,exploration,1,1,1,1912
,,,,,
interaction,interaction,1,1,1,1913
,,,,,
placement,placement,0.999999762,1,1,1914
,,,,,
dynamic,dynamic,1,1,1,1915
,,,,,
hardware,hardware,0.999999762,1,1,1916
,,,,,
policy,policy,1,1,1,1917
,,,,,
"['power aware', 'paging', 'allocation', 'challenge', 'computation', 'energy consumption', 'lifetime', 'batteries', 'mobile device', 'memorialized', 'energy efficiency', 'technologies', 'power management', 'feature', 'paper', 'exploration', 'interaction', 'placement', 'dynamic', 'hardware', 'policy']","['power', 'power aware', 'paging', 'allocation', 'challenge', 'computation', 'energy', 'energy consumption', 'lifetime', 'batteries', 'mobile device', 'memorialized', 'energy efficiency', 'technologies', 'power management', 'feature', 'paper', 'exploration', 'interaction', 'placement', 'dynamic', 'hardware', 'policy', 'exploit', 'informal', 'operating system', 'strategies', 'experience', 'simulation', 'environments', 'traces', 'workload', 'mobile computing', 'processor', 'memory model', 'benchmark', 'case', 'cooperation', 'software', 'delay']",N/A,0.7,1,1918
,,,,,
belief hierarchy,hierarchical belief,0.325003356,0.87,1,1919
,,,,,
uncertainty,belief change,0.071091063,0.12,1,1920
,,,,,
subjective probability,subjective probability,1,1,1,1921
,,,,,
belief change,belief change,1,1,1,1922
,,,,,
belief resiliency,belief change,0.203786954,0.65,1,1923
,,,,,
belief revision,belief change,0.511101604,0.56,1,1924
,,,,,
belief updating,belief change,0.35619396,0.56,1,1925
,,,,,
belief focusing,belief change,0.284898847,0.56,1,1926
,,,,,
"['belief hierarchy', 'uncertainty', 'subjective probability', 'belief change', 'belief resiliency', 'belief revision', 'belief updating', 'belief focusing']","['hierarchical belief', 'subjective probability', 'belief change', 'revising', 'updating', 'focusing', 'objective probability']",N/A,0.45,1,1927
,,,,,
two commodity network design,network design,0.486316323,0.43,1,1928
,,,,,
shortest path,network design,-0.076183118,0.12,1,1929
,,,,,
linear programming reformulation,network design,0.365036994,0.42,1,1930
,,,,,
polyhedron,network design,-0.012599579,0.12,1,1931
,,,,,
np completeness,integer optima,-0.145911068,0.04,1,1932
,,,,,
"['two commodity network design', 'shortest path', 'linear programming reformulation', 'polyhedron', 'np completeness']","['two commodity', 'network design', 'integer optima']",N/A,0.23,1,1933
,,,,,
super polynomial savings,computational complexity,0.00531677,0.12,1,1934
,,,,,
boolean circuits,negation limited circuits,0.278690189,0.32,1,1935
,,,,,
circuit complexity,computational complexity,0.527835667,0.32,1,1936
,,,,,
recursive circuits,negation limited circuits,0.21152392,0.43,1,1937
,,,,,
"['super polynomial savings', 'boolean circuits', 'circuit complexity', 'recursive circuits']","['computational complexity', 'negation limited circuits']",N/A,0.23,1,1938
,,,,,
log domain,log domain filters,0.60771668,0.12,1,1939
,,,,,
active filter,wave active filters,0.591580451,0.43,1,1940
,,,,,
differential filter,differential filters,0.913870871,1,1,1941
,,,,,
dwt,differential filters,-0.034476221,0.03,1,1942
,,,,,
"['log domain', 'active filter', 'differential filter', 'dwt']","['wave active filters', 'analogue filters', 'differential filters', 'log domain filters']",N/A,0.23,1,1943
,,,,,
linear programming,linear programming,1,1,1,1944
,,,,,
tabu search,tabu search,1,1,1,1945
,,,,,
logging trucks,linear programming,0.011996814,0.12,1,1946
,,,,,
vehicle routing,routing,0.281051785,0.32,1,1947
,,,,,
transportation,routing,0.298430592,0.12,1,1948
,,,,,
"['linear programming', 'tabu search', 'logging trucks', 'vehicle routing', 'transportation']","['linear programming', 'tabu search', 'routing', 'forestry', 'or in practice']",N/A,0.43,1,1949
,,,,,
assembly line balancing,assembly line,0.576447785,0.43,1,1950
,,,,,
difficulty,evaluation,0.044252113,0.1,1,1951
,,,,,
balance solution quality,balancing,0.141164497,0.1,1,1952
,,,,,
project index,assembly line,0.106836297,0.1,1,1953
,,,,,
a line balancing package,assembly line,0.173776001,0.1,1,1954
,,,,,
ill structured assembly lines,assembly line,0.304359645,0.23,1,1955
,,,,,
"['assembly line balancing', 'difficulty', 'balance solution quality', 'project index', 'a line balancing package', 'ill structured assembly lines']","['assembly line', 'balancing', 'evaluation']",N/A,0.43,1,1956
,,,,,
feature selection,feature selection,1,1,1,1957
,,,,,
class imbalance,multi class imbalance,0.590686202,0.12,1,1958
,,,,,
network traffic classification,network traffic,0.676014304,0.12,1,1959
,,,,,
ensemble learning,network traffic,0.078570805,0.12,1,1960
,,,,,
"['feature selection', 'class imbalance', 'network traffic classification', 'ensemble learning']","['feature selection', 'network traffic', 'local metrics', 'data drift', 'multi class imbalance']",N/A,0.32,1,1961
,,,,,
frequency response function,nonlinear modal analysis,0.238694832,0.12,1,1962
,,,,,
modal analysis,nonlinear modal analysis,0.545561552,0.1,1,1963
,,,,,
nonlinearity analysis,nonlinear modal analysis,0.637278438,0.12,1,1964
,,,,,
structural analysis,nonlinear modal analysis,0.37932995,0.42,1,1965
,,,,,
modal analysis of nonlinearity,nonlinear modal analysis,0.606933594,0.32,1,1966
,,,,,
"['frequency response function', 'modal analysis', 'nonlinearity analysis', 'structural analysis', 'modal analysis of nonlinearity']","['nonlinear identification', 'nonlinear modal testing', 'nonlinear modal analysis', 'experimental', 'nonlinear modal analysis']",N/A,0.223,1,1967
,,,,,
verification,formal specification and verification,0.20781742,0.43,1,1968
,,,,,
multiagent systems,multi agent systems,0.902855039,1,1,1969
,,,,,
temporal belief logics,multi agent systems,0.151625291,0.12,1,1970
,,,,,
metatem,multi agent systems,-0.202027634,0.32,1,1971
,,,,,
theory,multi agent systems,-0.050478604,0.12,1,1972
,,,,,
verification of multiagent systems,multi agent systems,0.51496619,0.12,1,1973
,,,,,
"['verification', 'multiagent systems', 'temporal belief logics', 'metatem', 'theory', 'verification of multiagent systems']","['formal specification and verification', 'multi agent systems']",N/A,0.12,1,1974
,,,,,
multimedia documents,annotation,-0.003025458,0.23,1,1975
,,,,,
metadata,metadata,1,1,1,1976
,,,,,
annotation,annotation,1,1,1,1977
,,,,,
segmentation,annotation,0.091540016,1,1,1978
,,,,,
adapted query languages,annotation,-0.02540963,1,1,1979
,,,,,
xml,metadata,0.519590855,0.1,1,1980
,,,,,
"['multimedia documents', 'metadata', 'annotation', 'segmentation', 'adapted query languages', 'xml']","['querying', 'metadata', 'annotation', 'spatiotemporal operators']",N/A,0.1,1,1981
,,,,,
comparisons,target selection tasks,-0.001444756,0.2,1,1982
,,,,,
input,pressure input,0.251289576,0.2,1,1983
,,,,,
control,pressure input,0.051477466,0.3,1,1984
,,,,,
experience,pressure input,0.0379561,0.1,1,1985
,,,,,
human,pressure input,-0.101454407,0.1,1,1986
,,,,,
pen,pen based interfaces,0.20427236,0.4,1,1987
,,,,,
couples,tilt input,-0.14729853,0.3,1,1988
,,,,,
posit,pressure input,-0.191946641,0.2,1,1989
,,,,,
scale,pressure input,0.013024434,0.1,1,1990
,,,,,
experimentation,pressure input,0.03692745,0.1,1,1991
,,,,,
performance,pressure input,0.146685109,0.2,1,1992
,,,,,
timing,target selection tasks,0.031952422,0.1,1,1993
,,,,,
errors,pen based interfaces,0.001866947,0.1,1,1994
,,,,,
design,pressure input,0.072902344,0.04,1,1995
,,,,,
guideline,tilt input,0.004547292,0.03,1,1996
,,,,,
"['comparisons', 'input', 'control', 'experience', 'human', 'pen', 'couples', 'posit', 'scale', 'experimentation', 'performance', 'timing', 'errors', 'design', 'guideline']","['tilt input', 'pressure input', 'target selection tasks', 'pen based interfaces']",N/A,0.1,1,1997
,,,,,
cognitive complexity,cognitive evaluation,0.592649519,0.1,1,1998
,,,,,
clinical ordering,medical errors,0.243270278,0.03,1,1999
,,,,,
medical information systems,information systems,0.678195775,0.02,1,2000
,,,,,
distributed resources model,distributed cognition,0.440370828,0.23,1,2001
,,,,,
humancomputer interaction,cognitive evaluation,-0.016571665,0.03,1,2002
,,,,,
cognitive workload,cognitive evaluation,0.594445825,0.43,1,2003
,,,,,
"['cognitive complexity', 'clinical ordering', 'medical information systems', 'distributed resources model', 'humancomputer interaction', 'cognitive workload']","['provider order entry', 'information systems', 'medical errors', 'cognitive evaluation', 'distributed cognition']",N/A,0.21,1,2004
,,,,,
crack propagation,crack propagation,1,1,1,2005
,,,,,
composite materials,composite materials,0.999999762,1,1,2006
,,,,,
moving mesh,moving mesh,0.999999583,1,1,2007
,,,,,
multiscale,concurrent multiscale methods,0.540473759,0.12,1,2008
,,,,,
adaptive model refinement,concurrent multiscale methods,0.13373597,0.32,1,2009
,,,,,
matrix cracking,crack propagation,0.217059851,0.1,1,2010
,,,,,
optimization,composite materials,0.037506569,0.21,1,2011
,,,,,
"['crack propagation', 'composite materials', 'moving mesh', 'multiscale', 'adaptive model refinement', 'matrix cracking', 'optimization']","['crack propagation', 'composite materials', 'moving mesh', 'concurrent multiscale methods', 'micromechanics', 'interface debonding']",N/A,1,1,2012
,,,,,
motivations,motivations,1,1,1,2013
,,,,,
virtual health communities,virtual health communities,1,1,1,2014
,,,,,
connectedness,connectedness,0.999999762,1,1,2015
,,,,,
stress,stress,0.999999762,1,1,2016
,,,,,
online behavior,virtual health communities,0.202426836,0.12,1,2017
,,,,,
social support,virtual health communities,0.203515708,0.31,1,2018
,,,,,
"['motivations', 'virtual health communities', 'connectedness', 'stress', 'online behavior', 'social support']","['motivations', 'virtual health communities', 'connectedness', 'stress', 'infertility', 'sense of virtual community']",N/A,0.21,1,2019
,,,,,
enterprise resource planning,enterprise resource planning,1,1,1,2020
,,,,,
critical success factors,critical success factors,1.000000238,1,1,2021
,,,,,
software selection,project management,0.273118794,0.12,1,2022
,,,,,
software implementation,business process reengineering,0.355476439,0.21,1,2023
,,,,,
"['enterprise resource planning', 'critical success factors', 'software selection', 'software implementation']","['enterprise resource planning', 'implementation procedures', 'critical success factors', 'business process reengineering', 'project management']",N/A,0.1,1,2024
,,,,,
debris flow,debris flow,1,1,1,2025
,,,,,
hazard,hazard assessment,0.365186036,0.12,1,2026
,,,,,
susceptibility,flooding,-0.000976633,0.21,1,2027
,,,,,
gis,debris flow,-0.175815374,0.1,1,2028
,,,,,
euclidean distance,debris flow,0.061684575,0.12,1,2029
,,,,,
"['debris flow', 'hazard', 'susceptibility', 'gis', 'euclidean distance']","['debris flow', 'scaling relationships', 'flooding', 'hazard assessment']",N/A,0.03,1,2030
,,,,,
radial distribution system,large scale radial distribution system,0.501281142,0.04,1,2031
,,,,,
distributed generation,distributed generation,1.000000238,1,1,2032
,,,,,
voltage stability,voltage,0.561763644,1,1,2033
,,,,,
power loss,voltage,0.103628367,0.12,1,2034
,,,,,
power flow analysis,stability index,0.196215779,0.03,1,2035
,,,,,
power distribution network,large scale radial distribution system,0.343050212,0.02,1,2036
,,,,,
"['radial distribution system', 'distributed generation', 'voltage stability', 'power loss', 'power flow analysis', 'power distribution network']","['large scale radial distribution system', 'distributed generation', 'voltage', 'simulated annealing', 'stability index']",N/A,0.01,1,2037
,,,,,
chemical reactor,reactors control,0.068226986,0.02,1,2038
,,,,,
trajectory tracking,tracking control,0.267313153,0.03,1,2039
,,,,,
robust control,robust discrete control,0.715261936,0.04,1,2040
,,,,,
robust error feedback,robust discrete control,0.380128115,0.23,1,2041
,,,,,
periodic load,robust discrete control,0.080194943,0.04,1,2042
,,,,,
robust control algorithm,robust discrete control,0.635034859,0.31,1,2043
,,,,,
"['chemical reactor', 'trajectory tracking', 'robust control', 'robust error feedback', 'periodic load', 'robust control algorithm']","['robust discrete control', 'tracking control', 'reactors control']",N/A,0.2,1,2044
,,,,,
speckle reduction,speckle reduction,0.999999762,1,1,2045
,,,,,
ultrasound,discrete wavelet transform,0.060716532,0.12,1,2046
,,,,,
generalised gaussian distributed,discrete wavelet transform,0.111823559,0.21,1,2047
,,,,,
bayesshrink,bayesshrink,0.999999762,1,1,2048
,,,,,
wavelet transform,discrete wavelet transform,0.43685317,0.21,1,2049
,,,,,
"['speckle reduction', 'ultrasound', 'generalised gaussian distributed', 'bayesshrink', 'wavelet transform']","['speckle reduction', 'soft thresholding', 'bayesshrink', 'median filter', 'wiener filter', 'discrete wavelet transform']",N/A,0.1,1,2050
,,,,,
computer based imaging,image guidance,0.185423955,0.21,1,2051
,,,,,
neurosurgery,neurosurgery,0.999999762,1,1,2052
,,,,,
open mri,interventional mri,0.256340206,0.43,1,2053
